par_id,community,text,label
3976,refugee,Lawyers refugee advocates immediately linked announcement high court challenge heard Canberra Wednesday Thursday  seeking contest constitutionality Australia s funding participation offshore detention  assertion dismissed immigration minister  Peter Dutton ,0
1369,hopeless,The African continent increasingly becoming global common hub business A continent long ago described hopeless continent risen odds truly show potential possesses Not Africa attracting world showing capable containing it increasingly operators Africa itself Africas economic structural reforms shown strong resilience following 2008 global economic crisis rebounding quickly since last decade looking robust going forward,1
4830,women,The level diligence zeal success women portrayed years seen reach pinnacle success enjoy today The time women subjected secondary roles society gone,1
8495,poor-families,He insisted lifting poorest cycle poverty said government launched major campaign poverty including Benazir income support scheme supported millions poor families across country,1
1442,in-need,A governmentfunded online platform said distributed 200 tons food thousands Hong Kongs needy last year The platform dubbed FoodCo connects food industry charities helping restaurants businesses looking donate surplus food need RTHK reports FoodCo said received HK20 million worth food and,1
6235,women,Many women unable afford even cost transportation reach health facilities  Others face barriers illiterate speak English  official language ,0
5364,women,CONWAY  SC   Reuters   US President Donald Trump warned South Carolina Wednesday  water coming way  aftermath Hurricane Florence  death toll massive storm rose least 36 two women swept away sheriff s van ,0
3425,immigrant,It story poor governance South Africa  Over quarter South African population unemployed protesters blamed foreigners taking local jobs  The founder new antiimmigrant political party called South African First  Mario Khumalo  said recently 13 million foreign nationals living South Africa ,0
7849,hopeless,He described life young Muslims district hopeless  many feeling stateless confronting unemployment rates well national average  Most friends  said  done jail time ,1
8281,in-need,The statement signed Ikonomwan Francis leader SMN read There doubt Nigerians need capable hand office SGF accompany president bring smiles faces second half administration,1
3718,women,National Council Women  NCWNZ  Gender Equal spokesperson Dr Gill Greer says murder example kind transphobic violence directed towards trans people particularly trans women ,0
262,hopeless,Some feelingsexperiences may contribute someone feeling suicidal include  loneliness  feeling absolute hopelessness helplessnessfeeling worthlessness   waste space   shock  depression clinically depressed ,0
3954,homeless, If single person country homeless forced live streets shame people country adds,1
1201,migrant,The obscenity photograph lies willed indifference golfers  They play could see desperate danglers close pampered game  They clad expensive  welllaundered white clothes equipped caddies topnotch gear  The creases cleanness apparel obvious even distance contrast glaringly shabby garb migrants  The players shine African sun  unwilling audience wears clothes grimly repel ,0
9669,poor-families,The minister said Christmas time celebrations closeness hope help join vulnerable poor families celebrations promote brotherhood religious harmony compassion tolerance,1
10249,in-need,There also angels come together help larger group people need,1
1637,poor-families,Aruna Gopinath AG Members groups often weak gullible Most come troubled homes come poor families lack proper education Recruiters target individuals promise better life life next,1
7286,disabled,They said many disabled persons often sexually exploited exposing many sexually transmitted infections including HIV challenges face  many unable access appropriate health care ,0
5273,vulnerable,Developed countries duty lighten burden less developed host countries accepting vulnerable refugees resettlement UNHCR has time urged developed nations share burden increasing number resettlement places offer little success,1
2532,homeless,Renowned chef feeds Rio s homeless excess Olympic food,1
1030,disabled,She reminded installation ATS push buttons every traffic light consistent mandate Republic Act 7277 Magna Carta Disabled Persons provides disabled persons shall given full government support improvement wellbeing integration mainstream society ,0
7850,vulnerable,Deputy Public Prosecutor Sruthi Boppana argued Arshad abused trust girl s family showed premeditation exploiting vulnerable victim ,0
9913,in-need,The government trying encourage families open doors children need Today 1100 900 pm nursing roadshow starts Atrium Basement 2 Bedok Mall h China publishes inflation data April,1
6910,refugee,World Refugee Day observed every year 20 June day seeks highlight resistance strength refugees despite plight challenges face globally,1
4588,homeless,Millions left homeless destitute tragedy ,0
367,hopeless,The Acting Management Director said group use media platforms Atinka FM Accra Atinka TV Ezenkwa FM Kumasi Ahoto FM Takoradi publicize Corporate Social Responsibility activities Ghanaians well Will promote To give hope hopeless,1
6418,in-need,I use money I save buying firecrackers community service needy parishioners said,1
4129,in-need, The progress dengue TIDES clinical trial  partnership Bill amp Melinda Gates Foundation eradicate polio  recent initiation world s first field efficacy trial norovirus vaccine  work US Government develop Zika vaccine  together demonstrate Takeda dedicated developing providing vaccines protect people need wherever   Dr Rajeev Venkayya  President Takeda Vaccines ,0
6456,refugee,According new Ipsos survey  nearly one four  23  Canadians believe Syrian refugee crisis biggest humanitarian challenge world facing 2017 ,0
4112,migrant,Immigration emerged potential point contention Nevertheless House Democratic leader Nancy Pelosi helped negotiate deal said would oppose unless Ryan promised introduce legislation protect hundreds thousands young immigrants known Dreamers came United States illegally children,1
6951,in-need,New startup The Monthly Cois raising money run subscription service women order 100 percent cotton tampons online delivered doorstep Every purchase see box tampons donated woman need,1
3201,vulnerable,Meanwhile Minister Social Family Development Tan Chuang Jin said ministry focus strengthening marriage families giving young people good start life supporting vulnerable people fostering caring communities,1
5270,homeless,The Cape Argus launched new collaborative editorial initiative called TheDignityProject  15part daily series homeless people Cape Town Homeless Danny Oosthuizen write daily column duration project Read fourth entry Dannys diary below,1
8685,in-need,A Brisbane woman behind charity committed providing women need personal hygiene products says woman ever forced go without,1
7752,disabled,Together established Priority Trust funded mobility equipment 32 disabled children two 18  The children get five year s use equipment  Officially 70000 children Britain  need mobility equipment give independence  although Mark estimates number nearer 100000  Whether child gets help  things life  bit postcode lottery ,0
6136,refugee,In September photograph lifeless body toddler Aylan Kurdi face Turkish beach changed way Europeans viewed refugees arriving borders Hostility changed sense humanitarian duty,1
2581,in-need,The ten wheelchairs sought children identified host Salvation Army enable become mobile convener noted Baps Charity go anywhere donate provided people found need donations without discrimination related religion color origin tribe said,1
5425,homeless,Since publication book I shocked hear many people faced plight homelessness I remember one particularly heartbreaking incident woman living car daughter I received many stories men women ages surprised far weve left judgmental attitudes behind Because extend compassion leads action solve problem,1
6113,homeless,Jordan Bennett applauded team volunteers sharing dedication vision motivated Christs famous miracle feeding 5000 people five loaves bread two fish He saw level partnership support initiative especially born desire feed homeless Jamaicans need continues blossom help others I delighted see making impact lives others,1
5331,migrant,Rosi captures migrants overwhelming relief dry land shock gives way mourning dead crushing boredom break rough soccer matches,1
5163,vulnerable,PSNI Chief Constable George Hamilton said Drew Harris driven commitment protecting vulnerable community,1
7441,vulnerable,In one respect  insanities 1947 reverberating growing Hindu nationalism professedly secular India  This means countries vulnerable ever similar strains religious extremism intolerance  I noticed liberal Indian intellectuals disturbed crisis India  Pankaj Mishra said Modi Hindu nationalist mobs  many ways  completing unfinished business Partition ,0
5287,migrant,And  India reshaped waves migrants  samosa also underwent transformation ,0
576,disabled,Finally  need improved communication repeatedly cropped  Arulraja  attendee  harped importance better organization information sharing disabled people s organizations  disabled people  government  media   Communication key  All else achieved improved communication   said  emphasizing importance disabled people s organizations fighting disabled people s rights ,0
1755,refugee, We  undersigned Rohingya organisations worldwide express serious concern agreement  signed 23rd November 2017  Myanmar Bangladesh return 670000 Rohingya refugees recently taken refuge Bangladesh fleeing Myanmar genocide   said ,0
3241,vulnerable,The board found failure original steel 2012 emergency repair bottom tank vulnerable catastrophic failure corrosion left much thinner newer steel circle welded onto bottom entire ring failed suddenly ,0
3579,women,Preliminary findings effect Northern Tanzania one every three women experiences violence exercised intimate partner pregnancy many report signs depression ,0
1397,migrant,Out place A man suit smartly dressed companion walk past family migrants drying clothes rail along seafront Kos,1
4278,in-need,Therefore urged citizens give time talent resources help needy said,1
5129,poor-families, The whole experience made think many poor families going   said ,1
10254,poor-families,The Archdioceses Cebu Vancouver Canada hosted  Table Hope  banquet Saturday  January 23   poor families also received bags canned sardines  kilo rice bottle water ,1
7002,refugee,The camp houses 48000 refugees Rwandas government recently provided land double available space them h Nobel laureate Malala visits girls camp Burundi refugees,1
6060,refugee,Despite chancellor s refusal migration cap  Berlin managed cap last year s asylum numbers 280000 pushing EUTurkey refugee swap deal  As well closure socalled Balkan route  Berlin cut number countries whose citizens chance securing asylum ,0
7816,disabled,One greatest achievements MP challenging people disabilities treated She became first disability issues spokesperson later minister,1
1358,disabled,But disastrous disabled elderly lack agility cope anything sudden unexpected added,1
5328,women,Firstly  idea working men women wear 3 piece suits work preposterous  All things equal nt identity crisis  everyone wearing respective traditional attire work ,0
6083,disabled,Whenever term disabled mentioned general perception becomes person completely crippled bedridden disabled judged completely hopeless unable fend themselves Disability known caused impairments several subsystems human body People disabilities suffer visual impairment physical disability intellectual disability mental illness types chronic illness,1
7142,women,The girl told police  forced dance halfnaked along women kept 16th September 20th September ,0
1045,homeless,Among flurry comic tweets  genuine concerns raised homeless people consuming products thrown away dustbins deaths occurred far ,0
8318,poor-families,Perhaps single biggest contribution wellbeing  though  ensuring every GP practice borough access welfare rights advice  enabling poor families claim full entitlement bringing millions pounds local economy ,0
875,refugee,She talked Malay Mail Online organisation s work refugee children shared us experiences ,0
1595,women,UTI pregnant women,0
5942,refugee,By Philippa HitchenThe rights refugees migrants spotlight throughout 2018 United Nations works towards adoption two global agreements  compacts   responding largest number displaced people since Second World War ,0
3920,homeless,5  Most Buddhist institutions temples collectively programmes assist refugees  provide shelter homeless children provide rehabilitation services  In contrast  well established Christian churches new evangelical groups active village town levels helping affected individuals eg victims political violence  come terms grief  Further  also help people cope mundane problems  22  ,1
3087,poor-families,The educationlabour market connection therefore characterized vicious cycle whereby poor children receive poor quality education turn limits participation economy hinders next generations efforts get good education Our research identified lowquality education main poverty trap holding back upward mobility children poor families,1
6789,vulnerable,After awarded grant European Union  People Need partnered local NGO Sahmakum Teang Tnaut  STT  protect vulnerable urban poor populations 2013  STT works 26 communities around Phnom Penh  groups run risk mass eviction city modernizes ,0
5568,homeless,The  Good Will Walk  Walk Feed 2017  series walks across country aim raising RM100000 assist Orang Asli natural disasters help homeless Kuala feed Lumpur ,1
2477,disabled,With theme March Our Lives demonstrators included children teenagers pregnant women elderly excluding disabled rolled around wheelchairs,1
6556,in-need,Although one site responded Irish Sun  posted wanted something need Christmas ,1
2085,homeless,Kigwe ward councilor  Paschal Sijila told paper 270 houses destroyed area rendering 460 people homeless ,0
8522,women,Its something helped us tremendously young men women grateful done them said,1
2554,disabled, It s decision  might think earning valuable life  But  I money I die get hit bullet become disabled  It s useless   said   Money always earned life one  ,0
5299,in-need,Kotoko yet drop points home coach Paa Kwesi Fabin needs win keep pace league leaders blaming players defeat Ashgold  The Porcupine Warriors two last three encounters home Ebusua Dwarfs  said  win visitors push midtable position ,0
661,hopeless,Then common thieves brought crust bread law came hungry heads high land thief stole land mens resources contents The first said hopeless conviction While escaped law fraud He would serious onesided justice  poor call consideration well The cruel people began wicked war line action kept far pushed forward sons poor fight die suffer many guns raged loans freedom raised glorious tones sang praise freedom Those made wars go front first shot shell bear burden there In front lines indebted true country people When asked ok all would deadly cannon balls The poor people defeated us joined together stopped Pakistani rulers rights bullin,1
1392,in-need,Our hearts go families affected recent floods said Lakshan Madurasinghe  Country Public Affairs Communication Sustainability Manager CocaCola Beverages Sri Lanka Limited CocaCola always believed inclusive sustainable development cares community operates We happy provide support community members times trial hardship We also grateful Sri Lanka Red Cross Society Gampaha Branch local public health inspectors Ministry Health Village Neeldhari Biyagama Mandal Secretary whose help made possible successfully execute interventions people need,1
